topic,term,beta
1,stop,0.09408821136793961
1,line,0.07194889526080232
1,bold,0.059498597758720045
1,accident,0.03955980203979326
1,vehicle,0.030835240905200595
1,slash,0.020556827270133724
1,chris,0.020556827270133724
1,smith,0.020556827270133724
1,unemployed,0.020556827270133724
1,chester,0.020556827270133724
1,travelling,0.020556827270133724
1,front,0.020556827270133724
1,client,0.020556827270133724
1,historian,0.020556827270133724
1,injuries,0.020556827270133724
2,spine,0.0603629546422572
2,examination,0.060362940885315255
2,paragraph,0.06035928955378747
2,opinion,0.05487839624877593
2,lumbar,0.04024196976150317
2,sacral,0.04024196976150317
2,accident,0.029204219880191874
2,bold,0.028314353012452838
2,movement,0.02012098488075487
2,joe,0.02012098488075158
2,upper,0.02012098488075158
2,range,0.02012098488075158
2,head,0.02012098488075158
2,recovery,0.02012098488075158
2,degeneration,0.02012098488075158
2,clinical,0.02012098488075158
3,stop,0.11254377332895611
3,pain,0.059383031530256834
3,neck,0.05089974131164676
3,paragraph,0.04241645109303871
3,past,0.04238788835007057
3,duty,0.033933160874432204
3,accident,0.030668372280946134
3,understand,0.025449870655823388
3,march,0.01696658043721645
3,severe,0.01696658043721559
3,weeks,0.01696658043721559
3,resolved,0.01696658043721559
3,week,0.01696658043721559
3,ability,0.01696658043721559
3,effect,0.01696658043721559
3,gym,0.01696658043721559
3,month,0.01696658043721559
3,tenderness,0.01696658043721559
3,court,0.01696658043721559
4,heading,0.09256205059652015
4,aligned,0.07686837683937799
4,bold,0.061178165354517706
4,symptoms,0.0480427355246123
4,accident,0.04364357684917162
4,paragraph,0.03843373075576367
4,stop,0.03709356979057498
4,injury,0.028825641314767465
4,confirm,0.028825641314767385
4,opinions,0.01921709420984824
5,bold,0.07075317735274222
5,report,0.07043846506576591
5,medical,0.060388169024135574
5,history,0.0503234741862197
5,line,0.040258779349433185
5,february,0.040258779349303116
5,10th,0.0402587793487442
5,2010,0.03938999544754858
5,stop,0.035146645502294724
5,data,0.030194084512067797
